old_name,new_name,longer_name,module,data_source,display_streamlined,happy_question,question_type,dashboard_comments
IV. GENERAL SUPPORTPlea_0004,gs_lab,"Laboratory, clinical, studio or other physical facilities",General Support,Exit Survey,FALSE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROGRAMQ,pq_facintel,Faculty Intellect,Training Program & Program Quality,Exit Survey,FALSE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0001,pq_recdev,Program's ability to keep pace with field's recent developments,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0002,pq_curric,Curriculum,Training Program & Program Quality,Exit Survey,FALSE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0003,pq_teach,Faculty teaching,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0004,pq_methods,Research Methods,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0005,pq_advise,Advising and Guidance,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0006,pq_comps,Prep for comprehensive exams and candidacy,Training Program & Program Quality,Exit Survey,FALSE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0007,pq_collab,Collaborate across disciplines,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0008,pq_employ,Faculty support finding postgrad employment,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
V. TRAINING PROGRAM & PROG_0009,pq_overall,Overall Quality,Training Program & Program Quality,Exit Survey,TRUE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OBSTACL,c_respect,Students are respected by faculty,Program Climate,Exit Survey,TRUE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0001,c_intelpos,Intellectual climate is positive,Program Climate,Exit Survey,TRUE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0002,c_socpos,Social climate is positive,Program Climate,Exit Survey,FALSE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0003,c_studentcol,Students in program are collegial,Program Climate,Exit Survey,FALSE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0004,c_staffhelp,Staff are helpful,Program Climate,Exit Survey,TRUE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0005,c_tensions,Faculty tensions affect students,Program Climate,Exit Survey,TRUE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0006,c_finfair,Financial support is fair,Program Climate,Exit Survey,FALSE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0007,c_advisad,Advisor is an advocate,Program Climate,Exit Survey,FALSE,TRUE,likert_5,NA
VI. CLIMATE OF PROGRAM &OB_0008,c_mcareer,Faculty support multiple careers,Program Climate,Exit Survey,TRUE,TRUE,likert_5,NA
Rate the extent to which the fol,o_fin,Financial Commitments,Obstacles,Exit Survey,TRUE,TRUE,likert_3,NA
Rate the extent to which th_0001,o_fam,Family Commitments,Obstacles,Exit Survey,TRUE,TRUE,likert_3,NA
Rate the extent to which th_0002,o_facavail,Faculty Availability,Obstacles,Exit Survey,FALSE,TRUE,likert_3,NA
Rate the extent to which th_0003,o_req,Program requirements or structure,Obstacles,Exit Survey,TRUE,TRUE,likert_3,NA
Rate the extent to which th_0004,o_sched,Course Scheduling,Obstacles,Exit Survey,FALSE,TRUE,likert_3,NA
Rate the extent to which th_0005,o_immig,Immigration Laws,Obstacles,Exit Survey,TRUE,TRUE,likert_3,NA
Rate the extent to which th_0006,o_other,Other Obstacles,Obstacles,Exit Survey,FALSE,TRUE,likert_3,NA
"If other factors, please specify",o_other_fr,Other obstacle explanation,Obstacles,Exit Survey,FALSE,FALSE,likert_3,Oof--written responses are a nightmare
VII. CERTIFICATEPROGRAMS OFFERE,cp_yn,Pursued certificate program?,Certificate Programs,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate the Graduate Sch,cp_t,Type of certificate program,Certificate Programs,Exit Survey,FALSE,FALSE,chart_32,"lots of categories in legend, looks crowded"
Please rate the following aspect,cp_fac,Faculty or program leadership,Certificate Programs,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate the following a_0001,cp_intel,Intellectual Climate,Certificate Programs,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate the following a_0002,cp_social,Social Climate,Certificate Programs,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate the following a_0003,cp_overall,Overall Quality,Certificate Programs,Exit Survey,TRUE,TRUE,likert_5,NA
VIII.QUALIFYING EXAMINATION & D,qe_course,Coursework prepared me for candidacy exams,Qualifying Exam & Dissertation,Exit Survey,TRUE,TRUE,likert_5,NA
VIII.QUALIFYING EXAMINATIO_0001,qe_select,Selection of dissertation committee,Qualifying Exam & Dissertation,Exit Survey,FALSE,TRUE,likert_5,NA
VIII.QUALIFYING EXAMINATIO_0002,qe_feedback,Received regular feedback,Qualifying Exam & Dissertation,Exit Survey,TRUE,TRUE,likert_5,NA
VIII.QUALIFYING EXAMINATIO_0003,qe_avail,Committee members available to meet as needed,Qualifying Exam & Dissertation,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING & ADVIS,m_help_written,Advice helpfulness: Preparing for written exams,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0001,m_help_oral,Advice helpfulness: Preparing for oral exams,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0002,m_help_topic,Advice helpfulness: selecting dissertation topic,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0003,m_help_proposal,Advice helpfulness: Writing dissertation proposal,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0004,m_help_research,Advice helpfulness: Doing research for dissertation,Mentoring & Advising: Dissertation Advisor,Exit Survey,TRUE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0005,m_help_writing,Advice helpfulness: Writing and revising dissertation,Mentoring & Advising: Dissertation Advisor,Exit Survey,TRUE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0006,m_help_careeracad,Advice helpfulness: Identifying academic career options,Mentoring & Advising: Dissertation Advisor,Exit Survey,TRUE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0007,m_help_careernonacad,Advice helpfulness: Identifying nonacademic career options,Mentoring & Advising: Dissertation Advisor,Exit Survey,TRUE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0008,m_help_employ,Advice helpfulness: Searching for employment/training,Mentoring & Advising: Dissertation Advisor,Exit Survey,TRUE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0009,m_time_written,Advice timeliness: Preparing for written exams,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0010,m_time_oral,Advice timeliness: Preparing for oral exams,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0011,m_time_topic,Advice timeliness: Selecting dissertation topic,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0012,m_time_proposal,Advice timeliness: Writing dissertation proposal,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0013,m_time_research,Advice timeliness: Doing research for dissertation,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0014,m_time_writing,Advice timeliness: Writing and revising dissertation,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0015,m_time_careeracad,Advice timeliness: Identifying academic career options,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0016,m_time_careernonacad,Advice timeliness: Identifying nonacademic career options,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
IX.¬†¬†¬† FACULTY MENTORING &_0017,m_time_employ,Advice timeliness: Searching for employment/training,Mentoring & Advising: Dissertation Advisor,Exit Survey,FALSE,TRUE,likert_5,NA
Was there another facultymember,me_oth_yn,Was there another faculty member who mentored you,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,yes_no,NA
Was the faculty mentor in your d,me_oth_dep,Was this faculty member in your department,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,yes_no,NA
Please rate how HELPFUL and TIME,me_oth_help_written,Advice helpfulness: Preparing for written exams,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0001,me_oth_help_oral,Advice helpfulness: Preparing for oral exams,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0002,me_oth_help_topic,Advice helpfulness: selecting dissertation topic,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0003,me_oth_help_proposal,Advice helpfulness: Writing dissertation proposal,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0004,me_oth_help_research,Advice helpfulness: Doing research for dissertation,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how HELPFUL and_0005,me_oth_help_writing,Advice helpfulness: Writing and revising dissertation,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how HELPFUL and_0006,me_oth_help_careeracad,Advice helpfulness: Identifying academic career options,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how HELPFUL and_0007,me_oth_help_careernonacad,Advice helpfulness: Identifying nonacademic career options,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how HELPFUL and_0008,me_oth_help_employ,Advice helpfulness: Searching for employment/training,Mentoring & Advising: Faculty Mentor,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how HELPFUL and_0009,me_oth_time_written,Advice timeliness: Preparing for written exams,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0010,me_oth_time_oral,Advice timeliness: Preparing for oral exams,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0011,me_oth_time_topic,Advice timeliness: Selecting dissertation topic,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0012,me_oth_time_proposal,Advice timeliness: Writing dissertation proposal,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0013,me_oth_time_research,Advice timeliness: Doing research for dissertation,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0014,me_oth_time_writing,Advice timeliness: Writing and revising dissertation,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0015,me_oth_time_careeracad,Advice timeliness: Identifying academic career options,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0016,me_oth_time_careernonacad,Advice timeliness: Identifying nonacademic career options,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how HELPFUL and_0017,me_oth_time_employ,Advice timeliness: Searching for employment/training,Mentoring & Advising: Faculty Mentor,Exit Survey,FALSE,TRUE,likert_5,NA
X. CAREER& PROFESSIONAL DEVELOP,d_ta_yn,Did you ever TA?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
For how many courses did you ser,d_ta_number,For how many courses did you TA?,Career & Professional Development,Exit Survey,TRUE,TRUE,scale_5,NA
newly_created,d_ta_training_location,Where did you receive TA Training?,Career & Professional Development,Exit Survey,TRUE,TRUE,NA,hard coded in app.R
How helpful was this experience,d_ta_training_helpful,How helpful was the TA experience?,Career & Professional Development,Exit Survey,TRUE,TRUE,likert_4,NA
Didyou receive training in coll,d_colteach_training_yn,Did you receive college teaching training?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
How helpful was this training?,d_coltech_training_helpful,How helpful was college teaching training?,Career & Professional Development,Exit Survey,TRUE,TRUE,likert_4,NA
newly_created,d_colteach_training_location,Where did you receive college teaching training?,Career & Professional Development,Exit Survey,FALSE,TRUE,NA,hard coded in app.R
Didyou ever teach any college c,d_ta_solo_yn,Did you ever teach any classes independently?,Career & Professional Development,Exit Survey,FALSE,TRUE,yes_no,NA
Please indicate how many college,d_ta_solo_number,How many courses?,Career & Professional Development,Exit Survey,FALSE,TRUE,scale_5,NA
newly_created,d_ta_solo_location,Where did you teach your own courses?,Career & Professional Development,Exit Survey,TRUE,TRUE,NA,NA
Wereyou a Research Assistant (R,d_ra_yn,Were you ever an RA?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
How helpful was this experi_0001,d_ra_helpful,How helpful was this experience?,Career & Professional Development,Exit Survey,TRUE,TRUE,likert_4,NA
Please indicate whether you used,d_conf_yn,Did you use Graduate Schoolís annual Research & Professional Development Conference?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0001,d_careerevents_yn,Did you use Career Center events?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0002,d_careerstaff_yn,Did you use Career Center staff individual counseling?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0003,d_workshopdep_yn,Did you use teaching workshops in department?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0004,d_workshopgrad_yn,Did you use teaching workshops in overall grad school?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0005,d_coursesdep_yn,Did you take courses on teaching in department?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0006,d_coursesgrad_yn,Did you take courses on teaching in overall grad school?,Career & Professional Development,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0007,d_conf_sat,Satisfied with Graduate Schoolís annual Research & Professional Development Conference?,Career & Professional Development,Exit Survey,FALSE,TRUE,likert_4,"All satisfied legend elements are cut off around somewhat dissatisfied--also ""Very Satisfied"" should start at blue, not red"
Please indicate whether you_0008,d_careerevents_sat,Satisfied with Career Center events?,Career & Professional Development,Exit Survey,TRUE,TRUE,likert_4,NA
Please indicate whether you_0009,d_careerstaff_sat,Satisfied with Career Center staff individual counseling?,Career & Professional Development,Exit Survey,TRUE,TRUE,likert_4,NA
Please indicate whether you_0010,d_workshopdep_sat,Satisfied with teaching workshops in department?,Career & Professional Development,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0011,d_workshopgrad_sat,Satisfied with teaching workshops in overall grad school?,Career & Professional Development,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0012,d_coursesdep_sat,Satisfied with courses on teaching in department?,Career & Professional Development,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0013,d_coursesgrad_sat,Satisfied with courses on teaching in overall grad school?,Career & Professional Development,Exit Survey,FALSE,TRUE,likert_4,NA
IX.  PRESENTATIONS& PUBLICATION,pp_oncampus,How many on campus presentations given?,Presentations & Publications,Exit Survey,TRUE,TRUE,choice_10,Lots of categories but tolerable imo
How many research orscholarly p,pp_offcampus,How many off campus presentations given?,Presentations & Publications,Exit Survey,TRUE,TRUE,choice_10,Lots of categories but tolerable imo
If you made anypresentation(s),pp_funding,Did you receive funding for off campus presentations?,Presentations & Publications,Exit Survey,FALSE,TRUE,scale_3,NA
newly_created,pp_fundsource,Where did you receive funding for off-campus presentations?,Presentations & Publications,Exit Survey,FALSE,TRUE,NA,hard coded in app.R
Based on research conducted whil,pp_pubs,How many works have you published?,Presentations & Publications,Exit Survey,TRUE,TRUE,choice_10,NA
How many others are currently un,pp_pending,How many works are pending to be published?,Presentations & Publications,Exit Survey,FALSE,TRUE,choice_10,Lots of categories but tolerable imo
XII. FINANCIALSUPPORTDid yo,f_supp_yn,Did you receive financial support?,Financial Support,Exit Survey,FALSE,TRUE,yes_no,NA
Were you guaranteed multi-year f,f_guarantee,Were you guaranteed multiyear financial support at admission?,Financial Support,Exit Survey,FALSE,TRUE,yes_no,NA
How many years of financial supp,f_years,How many years of support?,Financial Support,Exit Survey,FALSE,TRUE,choice_5,NA
newly_created,f_sources,Where did you receive financial support?,Financial Support,Exit Survey,FALSE,TRUE,NA,hard coded in app.R
If other form of non-loan financ,f_sources_other,"Explain ""other""",Financial Support,Exit Survey,FALSE,FALSE,NA,Written response
Were you satisfied with the amou,f_sat,Were you satisfied with your financial support?,Financial Support,Exit Survey,TRUE,TRUE,yes_no,NA
If you were supported by any Res,f_ratime,"If you were RA, did it affect your timeline?",Financial Support,Exit Survey,TRUE,TRUE,likert_4,NA
If you were supported by an_0001,f_tatime,"If you were TA, did it affect your timeline?",Financial Support,Exit Survey,TRUE,TRUE,likert_4,NA
How much did you borrow related,f_borrowing,How much did you borrow?,Financial Support,Exit Survey,TRUE,TRUE,choice_10,NA
XIII.Overall SatisfactionPl,os_acad_exper,Academic Experience,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
XIII.Overall Satisfaction_0001,os_stud_exper,Student Experience,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
XIII.Overall Satisfaction_0002,os_overall_exper,Overall Experience,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how well the Ph.D. p,os_clear_research_ques,Formulate Clear and Relevant Research Question,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how well the Ph_0001,os_apply_research_meth,Apply appropriate disciplinary research methods,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how well the Ph_0002,os_analyze_data,Analyze data or textual resources critically,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
Please rate how well the Ph_0003,os_acad_pres,Prepare and Offer Academic Presentations,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_5,NA
Please rate how well the Ph_0004,os_public_pres,Prepare and Offer Public Presentations,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_5,NA
Please indicate whether your dep,os_train_grant_yn,Yes or No: Grant Proposal Training,Overall Satisfaction,Exit Survey,FALSE,TRUE,yes_no,NA
Please indicate whether you_0014,os_job_interviews_yn,Yes or No: Job Interview Preparation,Overall Satisfaction,Exit Survey,FALSE,TRUE,yes_no,NA
Please indicate whether you_0015,os_job_talk_yn,Yes or No: Job Talk Preparation,Overall Satisfaction,Exit Survey,FALSE,TRUE,yes_no,NA
Please indicate whether you_0016,os_locate_acad_pos_yn,Yes or No: Training for Locating Academia Positions,Overall Satisfaction,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0017,os_locate_outside_acad_pos_yn,Yes or No: Training for Locating Positions Outside Academia,Overall Satisfaction,Exit Survey,TRUE,TRUE,yes_no,NA
Please indicate whether you_0018,os_train_grant,Grant Proposal Training Satisfaction,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0019,os_job_interviews,Job Interview Preparation Satisfaction,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0020,os_job_talk,Job Talk Preparation Satisfaction,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0021,os_locate_acad_pos,Training for Locating Academia Positions Satisfaction,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_4,NA
Please indicate whether you_0022,os_locate_outside_acad_pos,Training for Locating Positions Outside Academia Satisfaction Satisfaction,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_4,NA
If you were to start your doctor,os_same_uni,Select Same University?,Overall Satisfaction,Exit Survey,FALSE,TRUE,likert_5,NA
If you were to start your d_0001,os_same_field,Select Same Field of Study?,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
If you were to start your d_0002,os_same_diss_adv,Select Same Dissertation Advisor?,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
If you were to start your d_0003,os_recommend,Recommend Duke to Someone Else?,Overall Satisfaction,Exit Survey,TRUE,TRUE,likert_5,NA
XIV. EMPLOYMENT STATUS OREXPECT,e_postgrad_plans,Postgrad Plan Status,Employment Status Or Expectations,Exit Survey,FALSE,TRUE,qualitative,legend is cut off
"If other plan, please specify:",e_other_plan,Other Postgrad Plan Status,Employment Status Or Expectations,Exit Survey,FALSE,FALSE,NA,written response
What best describes your profess,e_employment_descr,Employment Description,Employment Status Or Expectations,Exit Survey,FALSE,FALSE,NA,written response
"If other position, please specif",e_other_descr,Other Employment Description,Employment Status Or Expectations,Exit Survey,FALSE,FALSE,NA,written response
What one type of principal emplo,e_employer_type_educ,Employer Type: Education,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,legend is cut off
What one type of principal_0001,e_employer_type_gov,Employer Type: Government,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,NA
What one type of principal_0002,e_employer_type_priv,Employer Type: Private Sector,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,NA
"If other employer, please specif",e_employer_type_other,Employer Type: Other,Employment Status Or Expectations,Exit Survey,FALSE,FALSE,NA,written response
Where is this employer located?,e_employer_loc,Employer Location,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,NA
XV. DEMOGRAPHIC INFORMATIONWhat,dem_gender,Gender,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your year of birth?,dem_year_birth,Year of Birth,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citizenship,dem_us_citizen,US Citizen Status,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citize_0001,dem_non_us_citizen,Non-US Citizen Status,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citize_0002,dem_non_us_citizen_country,Non-US Citizen Country of Origin,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Are you Hispanic or Latino?,dem_hisp_latino,Hispanic or Latino?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
To which racial or ethnic group,dem_racial_group,Racial and Ethnic Groups,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Do you have a spouse or domestic,dem_spouse,Spouse or Domestic Partner?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Do you have dependents who live,dem_dependents,Dependents?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
How many dependents live with yo,dem_number_of_dependents,Number of Dependents,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
XVI.  COMMENTS Whichaspects,co_pleasing,What were the most pleasing aspects?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Were there aspects of your docto,co_problematic,What were the most problematic aspects?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Was there anything about your do,co_slowprogress,Was there anything that slowed your progress?,Comments,Exit Survey,FALSE,FALSE,NA,NA
What changes would you recommend,co_changes,What changes would you recommend to your program for the future?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Q75 - Topics,placeholder,placeholder,Placeholder,Exit Survey,FALSE,FALSE,NA,NA
redcap_event_name,di_redcap_event_name,Which Redcap Survey?,Data Identification,Alumni Outcomes,FALSE,FALSE,start of alumni outcomes,NA
redcap_repeat_instrument.x.x,di_redcap_repeat_instrument.x.x,Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
